lane	axis	map_id	対象	判定	意味(normal-map)	write-set
core/motolii-store/src/persist.rs	A11	-	B2 gesture中フレーム落ち(16.7ms超連続2枚禁止)	測る手段が無い		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A11	-	B3 入力→視覚(local preview)≤1フレーム	測る手段が無い		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A11	-	B4 入力→視覚(host往復)≤2フレーム	測る手段が無い		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A11	-	B6 起動系スパイク(定常運転50ms超禁止、初回500ms以内)	測る手段が無い		shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A11	-	B7 メインthread停止(4ms超の同期処理禁止、JSON parse・lock待ち含む)	器具はあるが掛けていない		core/motolii-store/src/persist.rs;shell/motolii-shell/src/lib.rs
core/motolii-store/src/persist.rs	A11	-	group化/ungroup(N layer規模)の同期処理時間	測る手段が無い		shell/motolii-shell/src/lib.rs
ui/motolii-inspector-pane/src/lib.rs	A01	-	`SetCameraPropertyModulators`(裁定213新設)	入口ゼロ		ui/motolii-inspector-pane/src/lib.rs
ui/motolii-inspector-pane/src/lib.rs	A01	-	`SetCameraTrack`	入口ゼロ		ui/motolii-inspector-pane/src/lib.rs
ui/motolii-inspector-pane/src/lib.rs	A01	-	`SetCameraPropertySlot`	入口ゼロ		ui/motolii-inspector-pane/src/lib.rs
ui/motolii-inspector-pane/src/lib.rs	A04	-	Inspector 一括編集	上限がある		ui/motolii-inspector-pane/src/lib.rs
ui/motolii-inspector-pane/src/lib.rs	A04	1290	Remove All Text Animators(アニメーター一括削除)	上限がある	全テキストアニメーターを削除	ui/motolii-inspector-pane/src/lib.rs
ui/motolii-stage-pane/src/gizmo.rs	A10	-	Stage gizmo move(gizmo.rs::move_value)	カーソルのみ		ui/motolii-stage-pane/src/gizmo.rs
ui/motolii-stage-pane/src/gizmo.rs	A10	-	Stage gizmo scale(gizmo.rs::scale_value)	カーソルのみ		ui/motolii-stage-pane/src/gizmo.rs
ui/motolii-stage-pane/src/gizmo.rs	A10	-	Stage gizmo rotate(gizmo.rs::rotation_value)	カーソルのみ		ui/motolii-stage-pane/src/gizmo.rs
ui/motolii-stage-pane/src/gizmo.rs	A10	-	Stage gizmo anchor drag(gizmo.rs、pan-behind型)	カーソルのみ		ui/motolii-stage-pane/src/gizmo.rs
ui/motolii-stage-pane/src/gizmo.rs	A11	-	stage-pane gizmo drag(回転/拡大/移動ドラッグ中のフレーム予算)	測る手段が無い		ui/motolii-stage-pane/src/gizmo.rs
ui/motolii-inspector-pane/src/transform/mod.rs	A03	-	Hidden(M glyph、Inspector chrome.rs)	乗っていない		ui/motolii-inspector-pane/src/transform/mod.rs
ui/motolii-inspector-pane/src/transform/mod.rs	A03	-	Timeline rail Hidden(M glyph)	乗っていない		ui/motolii-inspector-pane/src/transform/mod.rs
ui/motolii-inspector-pane/src/transform/mod.rs	A09	-	Scale を Inspector で編集(ScaleX submit → ScaleY submit の2動作)	2 undo以上		ui/motolii-inspector-pane/src/transform/mod.rs
ui/motolii-inspector-pane/src/transform/mod.rs	A09	-	Anchor を Inspector で編集(AnchorX submit → AnchorY submit の2動作)	2 undo以上		ui/motolii-inspector-pane/src/transform/mod.rs
ui/motolii-timeline-pane/src/write.rs	A04	-	Timeline write.rs(編集操作 split/trim等)の量依存	未計測		ui/motolii-timeline-pane/src/write.rs
ui/motolii-timeline-pane/src/write.rs	A08	-	Timeline clip move/trim(`TimelineDragState`)	単数のみ		ui/motolii-timeline-pane/src/write.rs
ui/motolii-timeline-pane/src/write.rs	A08	509	Timeline `SelectAllKeysOfProperty`(`write.rs:1419 select_all_keys_of_property`)	単数のみ	プロパティの全キーフレームを選択	ui/motolii-timeline-pane/src/write.rs
ui/motolii-timeline-pane/src/write.rs	A08	-	SetOrder(z順並べ替え、`stacking.rs::restacked`)	単数のみ		ui/motolii-timeline-pane/src/write.rs
core/motolii-store/src/document.rs	A04	-	motolii-compositor 合成ループ(layer×pass)	未計測		engine/motolii-compositor/src/lib.rs
core/motolii-store/src/document.rs	A11	-	B5 Stageのリアルタイム追従(scrub中 p95≤16ms)	器具はあるが掛けていない		core/motolii-store/src/view.rs;engine/motolii-compositor/src/lib.rs
core/motolii-store/src/document.rs	A11	-	時間予算試験2本の負荷依存flake(`edit_storm_with_the_real_track_type`/`r2::stage_projection_fits_a_frame`)	試験がある		core/motolii-store/src/document.rs;core/motolii-store/src/view.rs
ui/motolii-inspector-pane/src/transform/interaction.rs	A09	-	Position を Inspector で編集(PositionX submit → PositionY submit の2動作)	2 undo以上		ui/motolii-inspector-pane/src/transform/interaction.rs
ui/motolii-inspector-pane/src/transform/interaction.rs	A10	-	Inspector 数値ドラッグ(transform.rs::start/continue/finish_field_drag)	カーソルのみ		ui/motolii-inspector-pane/src/transform/interaction.rs
ui/motolii-inspector-pane/src/transform/interaction.rs	A10	-	Inspector click→type編集(field_input_id/enter_field_editing)	カーソルのみ		ui/motolii-inspector-pane/src/transform/interaction.rs
ui/motolii-timeline-pane/src/key_rows.rs	A02	-	選択キーの削除(Backspace/Delete、`shell/motolii-shell/src/lib.rs:5781`)	穴:マウスで完遂できない		ui/motolii-timeline-pane/src/key_rows.rs
ui/motolii-timeline-pane/src/key_rows.rs	A04	-	key_rows selected_frame_bounds(選択keyの範囲計算)	計算量で壊れる		ui/motolii-timeline-pane/src/key_rows.rs
ui/motolii-inspector-pane/src/attrs.rs	A02	-	Speed(ATTRS、`attrs.rs::speed_row`)	穴:マウスで完遂できない		ui/motolii-inspector-pane/src/attrs.rs
ui/motolii-inspector-pane/src/attrs.rs	A03	-	Blend(ATTRS)	乗っていない		ui/motolii-inspector-pane/src/attrs.rs
ui/motolii-inspector-pane/src/matte.rs	A03	-	Matte 元(source layer、ATTRS matte行)	乗っていない		ui/motolii-inspector-pane/src/matte.rs
ui/motolii-inspector-pane/src/matte.rs	A03	-	Matte mode(ATTRS matte行)	乗っていない		ui/motolii-inspector-pane/src/matte.rs
ui/motolii-inspector-pane/src/mask.rs	A03	-	Mask Mode(MASK)	乗っていない		ui/motolii-inspector-pane/src/mask.rs
ui/motolii-inspector-pane/src/mask.rs	A03	-	Mask Inverted(MASK)	乗っていない		ui/motolii-inspector-pane/src/mask.rs
ui/motolii-timeline-pane/src/lib.rs	A07	-	Timeline: layer 0件(comp はあるがlayerが1枚も無い)の rail/rows描画	未確認		ui/motolii-timeline-pane/src/lib.rs
ui/motolii-timeline-pane/src/lib.rs	A11	-	B1 定常フレーム(render thread p99≤8ms・avg≤4ms)	器具はあるが掛けていない		ui/motolii-timeline-pane/src/lib.rs
ui/motolii-timeline-pane/src/clip_gesture.rs	A10	-	Timeline clip move(clip_gesture.rs::moved_start)	カーソルのみ		ui/motolii-timeline-pane/src/clip_gesture.rs
ui/motolii-timeline-pane/src/clip_gesture.rs	A10	-	Timeline clip trim(clip_gesture.rs::trimmed_in_start/trimmed_out_end)	カーソルのみ		ui/motolii-timeline-pane/src/clip_gesture.rs
ui/motolii-timeline-pane/src/rail.rs	A02	-	Timeline 矩形選択(marquee)	穴:マウスで完遂できない		ui/motolii-timeline-pane/src/rail.rs
shell/motolii-shell/src/menu.rs	A02	-	レイヤー削除(実質 CutLayer、Cmd+X)	穴:マウスで完遂できない		shell/motolii-shell/src/menu.rs
ui/motolii-stage-pane/src/zoom.rs	A02	-	トラックパッド ピンチジェスチャ(Stage ズーム)	穴:ポインタ入力を受け取れない		ui/motolii-stage-pane/src/zoom.rs
core/motolii-store/src/lib.rs	A03	-	Speed(ATTRS)	乗っていない		core/motolii-store/src/lib.rs
ui/motolii-inspector-pane/src/link.rs	A03	-	Link 元(source layer+property、LINK)	乗っていない		ui/motolii-inspector-pane/src/link.rs
engine/motolii-engine/src/lib.rs	A05	-	Stage合成中、1layerの素材(Media)がprobe/decode失敗(削除・非対応コーデック・破損)	理由つきで拒否する		engine/motolii-engine/src/lib.rs
core/motolii-store/src/asset.rs	A05	-	`motolii_store::Asset`構造体そのものにoffline/missing/broken状態を持つフィールドが無い(裁定154台帳の`Find Missing Footage`はコマンド名のみで状態は台帳に無い、docs/reviews/2026-08-23-normal-map-trunk.md 節1と一致する実装側の裏付け)	黙って握りつぶす		core/motolii-store/src/asset.rs
engine/motolii-compositor/src/blend.rs	A05	-	`percent-encoded/HSL blend`のSetSat/ClipColor — 色が全チャンネル同値かつ範囲外の極端入力で理論上0除算(NaN)	未確認		engine/motolii-compositor/src/blend.rs
shell/motolii-shell/src/pane_layout.rs	A06	-	paneレイアウト(実働側 `pane_layout::Layout` ── pane_grid分割比率・Browserパネル開閉)	戻らない		shell/motolii-shell/src/pane_layout.rs
ui/motolii-tokens-rs/src/tokens.rs	A06	-	UI scale(ui_scale)	Document に入れるべきでない(User Settings 行き)		ui/motolii-tokens-rs/src/tokens.rs
ui/motolii-timeline-pane/src/input.rs	A10	-	Playhead scrub(ruler.rs/input.rs、Message::ScrubTo)	カーソルのみ		ui/motolii-timeline-pane/src/input.rs
ui/motolii-timeline-pane/src/work_area.rs	A10	-	Loop帯(作業範囲) body/edge drag(ruler.rs/work_area.rs::dragged_area)	カーソルのみ		ui/motolii-timeline-pane/src/work_area.rs
ui/motolii-timeline-pane/src/markers.rs	A10	-	マーカー/ロケータ ドラッグ(markers.rs::MarkerDrag::dragged)	カーソルのみ		ui/motolii-timeline-pane/src/markers.rs
ui/motolii-timeline-pane/src/canvas.rs	A11	711	Scroll to current time(既存verb、時間予算との関係)	測る手段が無い	ペイントツールの不透明度を設定	ui/motolii-timeline-pane/src/canvas.rs
ui/motolii-stage-pane/src/marquee.rs	A11	-	marquee(矩形選択)drag中のフレーム予算	測る手段が無い		ui/motolii-stage-pane/src/marquee.rs
probes/r6-text-shaping/src/lib.rs	A11	-	テキスト入力(キー毎の再shape)	測る手段が無い		probes/r6-text-shaping/src/lib.rs
(責任ファイル未記入)	A06	918	最近使ったファイル(MRU、Open Recent)	保存先が無い	最近使ったプリセット	
(責任ファイル未記入)	A12	-	ピンチズーム(トラックパッド、2本指つまむ)	入口が無い		
