kind	symbol	crate	path:line	vis	doc1行	署名
function	fmt	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:8	default		(self: &Self, __formatter: &mut Formatter) -> Result
function	fmt	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:8	default		(self: &Self, f: &mut Formatter) -> Result
function	from	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:8	default		(source: CpuWriteGpuReadError) -> Self
function	source	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:8	default		(self: &Self) -> Option<&impl/dyn>
function	is_empty	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:82	public	Whether no elements have been written at all.	(self: &Self) -> bool
enum	DataTextureSourceWriteError	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:9	public		
function	len	re-renderer	crates/viewer/re_renderer/src/allocator/data_texture_source.rs:90	public	The number of elements written so far.	(self: &Self) -> usize
type_alias	GpuReadbackIdentifier	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:12	public	Identifier used to identify a buffer upon retrieval of the data.	
struct	GpuReadbackBelt	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:199	public	Efficiently performs many buffer reads by sharing and reusing temporary buffers.	
function	fmt	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:26	default		(self: &Self, f: &mut Formatter) -> Result
function	fmt	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:26	default		(self: &Self, __formatter: &mut Formatter) -> Result
enum	GpuReadbackError	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:27	public		
struct_field	0	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:29	default		TextureFormat
variant	UnsupportedTextureFormatForReadback	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:29	default		tuple(1)
variant	MissingSrcCopyUsage	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:32	default		unit
struct	GpuReadbackBuffer	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:39	public	A reserved slice for GPU readback.	
function	read_texture2d	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:50	public	Populates the buffer with data from a single layer of a 2D texture.	(self: &mut Self, encoder: &mut CommandEncoder, source: TexelCopyTextureInfo, copy_extents: Extent3d) -> Result<(), GpuReadbackError>
function	read_multiple_texture2d	re-renderer	crates/viewer/re_renderer/src/allocator/gpu_readback_belt.rs:69	public	Reads multiple textures into the same buffer.	(self: &mut Self, encoder: &mut CommandEncoder, sources_and_extents: &[(TexelCopyTextureInfo, Extent3d)]) -> Result<(), GpuReadbackError>
function	create_and_fill_uniform_buffer_batch	re-renderer	crates/viewer/re_renderer/src/allocator/uniform_buffer_fill.rs:36	public	Utility for fast & efficient creation of uniform buffers from a series of structs.	(ctx: &RenderContext, label: Label, content: impl/dyn) -> Vec<BindGroupEntry>
function	create_and_fill_uniform_buffer	re-renderer	crates/viewer/re_renderer/src/allocator/uniform_buffer_fill.rs:90	public	See [`create_and_fill_uniform_buffer`].	(ctx: &RenderContext, label: Label, content: T) -> BindGroupEntry
function	from_rgb	re-renderer	crates/viewer/re_renderer/src/color.rs:14	public		(r: u8, g: u8, b: u8) -> Self
function	from_rgba_unmul_array	re-renderer	crates/viewer/re_renderer/src/color.rs:19	public		(rgba_unmul: [u8; N]) -> Self
function	clone	re-renderer	crates/viewer/re_renderer/src/color.rs:26	default		(self: &Self) -> UnalignedColor32
function	default	re-renderer	crates/viewer/re_renderer/src/color.rs:26	default		() -> UnalignedColor32
function	eq	re-renderer	crates/viewer/re_renderer/src/color.rs:26	default		(self: &Self, other: &UnalignedColor32) -> bool
function	fmt	re-renderer	crates/viewer/re_renderer/src/color.rs:26	default		(self: &Self, f: &mut Formatter) -> Result
struct_field	0	re-renderer	crates/viewer/re_renderer/src/color.rs:28	public		[u8; N]
struct	UnalignedColor32	re-renderer	crates/viewer/re_renderer/src/color.rs:28	public	[`ecolor::Color32`] but without `repr(align(4))`, since that is not compatible	
function	from	re-renderer	crates/viewer/re_renderer/src/color.rs:31	default		(c: Color32) -> Self
function	from	re-renderer	crates/viewer/re_renderer/src/color.rs:37	default		(c: UnalignedColor32) -> Self
function	clone	re-renderer	crates/viewer/re_renderer/src/color.rs:5	default		(self: &Self) -> Rgba32Unmul
function	eq	re-renderer	crates/viewer/re_renderer/src/color.rs:5	default		(self: &Self, other: &Rgba32Unmul) -> bool
function	fmt	re-renderer	crates/viewer/re_renderer/src/color.rs:5	default		(self: &Self, f: &mut Formatter) -> Result
function	hash	re-renderer	crates/viewer/re_renderer/src/color.rs:5	default		(self: &Self, state: &mut __H)
struct_field	0	re-renderer	crates/viewer/re_renderer/src/color.rs:6	public		[u8; N]
struct	Rgba32Unmul	re-renderer	crates/viewer/re_renderer/src/color.rs:6	public	RGBA color in sRGB gamma space, with separate/unmultiplied linear alpha.	
function	clone	re-renderer	crates/viewer/re_renderer/src/colormap.rs:10	default		(self: &Self) -> Colormap
function	fmt	re-renderer	crates/viewer/re_renderer/src/colormap.rs:12	default		(self: &Self, f: &mut Formatter) -> Result
function	default	re-renderer	crates/viewer/re_renderer/src/colormap.rs:13	default		() -> Colormap
function	grayscale_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:134	public	Returns an sRGBA gray value, assuming `t` is normalized.	(t: f32) -> [u8; N]
function	eq	re-renderer	crates/viewer/re_renderer/src/colormap.rs:14	default		(self: &Self, other: &Colormap) -> bool
function	colormap_turbo_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:156	public	Returns sRGBA polynomial approximation from Turbo color map, assuming `t` is normalized.	(t: f32) -> [u8; N]
function	partial_cmp	re-renderer	crates/viewer/re_renderer/src/colormap.rs:16	default		(self: &Self, other: &Colormap) -> Option<Ordering>
function	cmp	re-renderer	crates/viewer/re_renderer/src/colormap.rs:17	default		(self: &Self, other: &Colormap) -> Ordering
function	deserialize	re-renderer	crates/viewer/re_renderer/src/colormap.rs:18	default		(__deserializer: __D) -> Result<Self, Error>
function	serialize	re-renderer	crates/viewer/re_renderer/src/colormap.rs:19	default		(self: &Self, __serializer: __S) -> Result<Ok, Error>
function	colormap_viridis_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:193	public	Returns sRGBA polynomial approximation from Viridis color map, assuming `t` is normalized.	(t: f32) -> [u8; N]
function	colormap_plasma_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:211	public	Returns sRGBA polynomial approximation from Plasma color map, assuming `t` is normalized.	(t: f32) -> [u8; N]
enum	Colormap	re-renderer	crates/viewer/re_renderer/src/colormap.rs:22	public		
function	colormap_magma_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:229	public	Returns sRGBA polynomial approximation from Magma color map, assuming `t` is normalized.	(t: f32) -> [u8; N]
function	colormap_inferno_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:247	public	Returns sRGBA polynomial approximation from Inferno color map, assuming `t` is normalized.	(t: f32) -> [u8; N]
variant	Grayscale	re-renderer	crates/viewer/re_renderer/src/colormap.rs:26	default	sRGB gray gradient = perceptually even	unit
variant	Inferno	re-renderer	crates/viewer/re_renderer/src/colormap.rs:27	default		unit
function	colormap_cyan_to_yellow_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:276	public	Returns a gamma-space sRGBA in 0-255 range.	(t: f32) -> [u8; N]
variant	Magma	re-renderer	crates/viewer/re_renderer/src/colormap.rs:28	default		unit
variant	Plasma	re-renderer	crates/viewer/re_renderer/src/colormap.rs:29	default		unit
variant	Turbo	re-renderer	crates/viewer/re_renderer/src/colormap.rs:30	default		unit
variant	Viridis	re-renderer	crates/viewer/re_renderer/src/colormap.rs:31	default		unit
variant	CyanToYellow	re-renderer	crates/viewer/re_renderer/src/colormap.rs:32	default		unit
variant	Spectral	re-renderer	crates/viewer/re_renderer/src/colormap.rs:33	default		unit
variant	Twilight	re-renderer	crates/viewer/re_renderer/src/colormap.rs:34	default		unit
variant	RvizMap	re-renderer	crates/viewer/re_renderer/src/colormap.rs:35	default		unit
variant	RvizCostmap	re-renderer	crates/viewer/re_renderer/src/colormap.rs:36	default		unit
function	fmt	re-renderer	crates/viewer/re_renderer/src/colormap.rs:56	default		(self: &Self, f: &mut Formatter) -> Result
function	colormap_srgba	re-renderer	crates/viewer/re_renderer/src/colormap.rs:73	public		(which: Colormap, t: f32) -> [u8; N]
struct_field	global_bindings	re-renderer	crates/viewer/re_renderer/src/context.rs:105	public	Global bindings, always bound to 0 bind group slot zero.	GlobalBindings
struct_field	texture_manager_2d	re-renderer	crates/viewer/re_renderer/src/context.rs:110	public		TextureManager2D
struct_field	cpu_write_gpu_read_belt	re-renderer	crates/viewer/re_renderer/src/context.rs:111	public		Mutex<CpuWriteGpuReadBelt>
struct_field	gpu_readback_belt	re-renderer	crates/viewer/re_renderer/src/context.rs:112	public		Mutex<GpuReadbackBelt>
struct_field	active_frame	re-renderer	crates/viewer/re_renderer/src/context.rs:120	public		ActiveFrameContext
struct_field	gpu_resources	re-renderer	crates/viewer/re_renderer/src/context.rs:134	public		WgpuResourcePools
struct	Renderers	re-renderer	crates/viewer/re_renderer/src/context.rs:140	public	Struct owning *all* [`Renderer`].	
function	clone	re-renderer	crates/viewer/re_renderer/src/context.rs:150	default		(self: &Self) -> RendererTypeId
function	cmp	re-renderer	crates/viewer/re_renderer/src/context.rs:150	default		(self: &Self, other: &RendererTypeId) -> Ordering
function	eq	re-renderer	crates/viewer/re_renderer/src/context.rs:150	default		(self: &Self, other: &RendererTypeId) -> bool
function	fmt	re-renderer	crates/viewer/re_renderer/src/context.rs:150	default		(self: &Self, f: &mut Formatter) -> Result
function	partial_cmp	re-renderer	crates/viewer/re_renderer/src/context.rs:150	default		(self: &Self, other: &RendererTypeId) -> Option<Ordering>
struct	RendererTypeId	re-renderer	crates/viewer/re_renderer/src/context.rs:151	public	Unique identifier for a [`Renderer`] type.	
function	bits	re-renderer	crates/viewer/re_renderer/src/context.rs:155	public		(self: &Self) -> u8
function	from_bits	re-renderer	crates/viewer/re_renderer/src/context.rs:160	public		(bits: u8) -> Self
struct	RendererWithKey	re-renderer	crates/viewer/re_renderer/src/context.rs:165	public		
function	fmt	re-renderer	crates/viewer/re_renderer/src/context.rs:21	default		(self: &Self, __formatter: &mut Formatter) -> Result
function	fmt	re-renderer	crates/viewer/re_renderer/src/context.rs:21	default		(self: &Self, f: &mut Formatter) -> Result
function	from	re-renderer	crates/viewer/re_renderer/src/context.rs:21	default		(source: InsufficientDeviceCapabilities) -> Self
function	source	re-renderer	crates/viewer/re_renderer/src/context.rs:21	default		(self: &Self) -> Option<&impl/dyn>
enum	RenderContextError	re-renderer	crates/viewer/re_renderer/src/context.rs:22	public		
struct_field	0	re-renderer	crates/viewer/re_renderer/src/context.rs:27	default		InsufficientDeviceCapabilities
variant	InsufficientDeviceCapabilities	re-renderer	crates/viewer/re_renderer/src/context.rs:27	default		tuple(1)
function	new	re-renderer	crates/viewer/re_renderer/src/context.rs:287	public		(adapter: &Adapter, device: Device, queue: Queue, output_format_color: TextureFormat, config_provider: impl/dyn) -> Result<Self, RenderContextError>
function	clone	re-renderer	crates/viewer/re_renderer/src/context.rs:31	default		(self: &Self) -> MsaaMode
function	default	re-renderer	crates/viewer/re_renderer/src/context.rs:31	default		() -> MsaaMode
function	eq	re-renderer	crates/viewer/re_renderer/src/context.rs:31	default		(self: &Self, other: &MsaaMode) -> bool
function	fmt	re-renderer	crates/viewer/re_renderer/src/context.rs:31	default		(self: &Self, f: &mut Formatter) -> Result
function	new_from_device	re-renderer	crates/viewer/re_renderer/src/context.rs:314	public	Sister constructor to [`Self::new`] for embedders that already own a [`wgpu::Device`]/	(device: Device, queue: Queue, output_format_color: TextureFormat, config_provider: impl/dyn) -> Result<Self, RenderContextError>
enum	MsaaMode	re-renderer	crates/viewer/re_renderer/src/context.rs:32	public	Controls MSAA (Multi-Sampling Anti-Aliasing)	
variant	Off	re-renderer	crates/viewer/re_renderer/src/context.rs:41	default	Disabled MSAA.	unit
function	begin_frame	re-renderer	crates/viewer/re_renderer/src/context.rs:467	public	Call this at the beginning of a new frame.	(self: &mut Self)
variant	Msaa4x	re-renderer	crates/viewer/re_renderer/src/context.rs:49	default	4x MSAA.	unit
function	sample_count	re-renderer	crates/viewer/re_renderer/src/context.rs:54	public	Returns the number of samples for this MSAA mode.	(self: &Self) -> u32
function	before_submit	re-renderer	crates/viewer/re_renderer/src/context.rs:566	public	Call this at the end of a frame but before submitting command buffers (e.g. from [`crate::view_builder::ViewBuilder`])	(self: &mut Self)
function	renderer	re-renderer	crates/viewer/re_renderer/src/context.rs:591	public	Gets a renderer with the specified type, initializing it if necessary.	(self: &Self) -> MappedRwLockReadGuard<RendererWithKey<R>>
function	active_frame_idx	re-renderer	crates/viewer/re_renderer/src/context.rs:617	public	Returns the global frame index of the active frame.	(self: &Self) -> u64
function	device_caps	re-renderer	crates/viewer/re_renderer/src/context.rs:622	public	Returns the device's capabilities.	(self: &Self) -> &DeviceCaps
function	adapter_info	re-renderer	crates/viewer/re_renderer/src/context.rs:626	public		(self: &Self) -> &AdapterInfo
function	render_config	re-renderer	crates/viewer/re_renderer/src/context.rs:631	public	Returns the active render config.	(self: &Self) -> &RenderConfig
function	output_format_color	re-renderer	crates/viewer/re_renderer/src/context.rs:636	public	Returns the final output format for color (i.e. the surface's format).	(self: &Self) -> TextureFormat
struct	FrameGlobalCommandEncoder	re-renderer	crates/viewer/re_renderer/src/context.rs:641	public		
function	clone	re-renderer	crates/viewer/re_renderer/src/context.rs:66	default		(self: &Self) -> RenderConfig
function	default	re-renderer	crates/viewer/re_renderer/src/context.rs:66	default		() -> RenderConfig
function	fmt	re-renderer	crates/viewer/re_renderer/src/context.rs:66	default		(self: &Self, f: &mut Formatter) -> Result
struct	RenderConfig	re-renderer	crates/viewer/re_renderer/src/context.rs:67	public	Configures global properties of the renderer.	
struct	ActiveFrameContext	re-renderer	crates/viewer/re_renderer/src/context.rs:672	public		
struct_field	before_view_builder_encoder	re-renderer	crates/viewer/re_renderer/src/context.rs:677	public	Command encoder for all commands that should go in before view builder are submitted.	Mutex<FrameGlobalCommandEncoder>
struct_field	msaa_mode	re-renderer	crates/viewer/re_renderer/src/context.rs:68	public		MsaaMode
struct_field	frame_index	re-renderer	crates/viewer/re_renderer/src/context.rs:685	public	Index of this frame. Is incremented for every render frame.	u64
struct_field	num_view_builders_created	re-renderer	crates/viewer/re_renderer/src/context.rs:688	public	Number of view builders created in this frame so far.	AtomicU64
function	best_for_device_caps	re-renderer	crates/viewer/re_renderer/src/context.rs:74	public	Returns the best config for the given [`DeviceCaps`].	(_device_caps: &DeviceCaps) -> Self
function	adapter_info_summary	re-renderer	crates/viewer/re_renderer/src/context.rs:742	public	A human-readable summary about an adapter	(info: &AdapterInfo) -> String
function	testing	re-renderer	crates/viewer/re_renderer/src/context.rs:84	public	Render config preferred for running most tests.	() -> Self
struct	RenderContext	re-renderer	crates/viewer/re_renderer/src/context.rs:94	public	Any resource involving wgpu rendering which can be re-used across different scenes.	
struct_field	device	re-renderer	crates/viewer/re_renderer/src/context.rs:95	public		Device
struct_field	queue	re-renderer	crates/viewer/re_renderer/src/context.rs:96	public		Queue
type_alias	DepthOffset	re-renderer	crates/viewer/re_renderer/src/depth_offset.rs:16	public	Depth offset used to resolve z-fighting between 2D primitives.	
module	device_caps	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:1	public		
function	features	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:105	public	Required features for the given device tier.	(self: &Self) -> Features
function	check_required_downlevel_capabilities	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:110	public	Check whether the given downlevel caps are sufficient for this tier.	(self: &Self, downlevel_caps: &DownlevelCapabilities) -> Result<(), InsufficientDeviceCapabilities>
function	clone	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:12	default		(self: &Self) -> DeviceCapabilityTier
function	eq	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:12	default		(self: &Self, other: &DeviceCapabilityTier) -> bool
function	fmt	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:12	default		(self: &Self, f: &mut Formatter) -> Result
enum	DeviceCapabilityTier	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:13	public	Device tiers `re_renderer` distinguishes.	
function	fmt	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:135	default		(self: &Self, __formatter: &mut Formatter) -> Result
function	fmt	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:135	default		(self: &Self, f: &mut Formatter) -> Result
enum	InsufficientDeviceCapabilities	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:136	public		
variant	TooLowShaderModel	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:140	default		struct{2}
struct_field	required	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:141	default		ShaderModel
struct_field	actual	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:142	default		ShaderModel
variant	MissingCapabilitiesFlags	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:148	default		struct{2}
struct_field	required	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:149	default		DownlevelFlags
struct_field	actual	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:150	default		DownlevelFlags
variant	CantDrawToTexture	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:154	default		struct{1}
struct_field	format	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:154	default		TextureFormat
function	clone	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:163	default		(self: &Self) -> DeviceCaps
function	eq	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:163	default		(self: &Self, other: &DeviceCaps) -> bool
function	fmt	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:163	default		(self: &Self, f: &mut Formatter) -> Result
struct	DeviceCaps	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:164	public	Capabilities of a given device.	
struct_field	tier	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:165	public		DeviceCapabilityTier
struct_field	max_texture_dimension2d	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:170	public	Maximum texture dimension in pixels in both width and height.	u32
struct_field	max_buffer_size	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:175	public	Maximum buffer size in bytes.	u64
function	from_adapter_without_validation	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:183	public	Picks the highest possible tier for a given adapter, but doesn't validate that all the capabilities needed are there.	(adapter: &Adapter) -> Self
variant	Limited	re-renderer	crates/viewer/re_renderer/src/device_caps.rs:20	default	Limited feature support as provided by WebGL and some OpenGL drivers.	unit
