kind	symbol	crate	path:line	vis	doc1行	署名
function	underrun_events	motolii-audio	engine/motolii-audio/src/clock.rs:157	public	アンダーランが発生したコールバック呼び出し回数。	(self: &Self) -> u64
function	record_block	motolii-audio	engine/motolii-audio/src/clock.rs:173	public	1回のデバイスコールバック(または headless シミュレーション)分の結果を記録する。	(self: &Self, supplied_frames: u64, missing_frames: u64)
struct	PlaybackClock	motolii-audio	engine/motolii-audio/src/clock.rs:200	public	再生クロック: start/pause/seek と現在の論理再生位置(`RationalTime`)を持つ口。	
function	new	motolii-audio	engine/motolii-audio/src/clock.rs:211	public	停止状態(原点=ZERO)で構築する。`start`を呼ぶまで`position()`は`ZERO`のまま。	(counters: Arc<PlaybackCounters>, device_wait: Arc<DeviceWaitLatency>, sample_rate: u32) -> Result<Self, RationalTimeError>
function	start	motolii-audio	engine/motolii-audio/src/clock.rs:230	public	`at`を新しい原点として走行を開始する。	(self: &mut Self, at: RationalTime)
function	pause	motolii-audio	engine/motolii-audio/src/clock.rs:236	public	現在位置を凍結して停止する(冪等 — 既に停止中なら何もしない)。	(self: &mut Self) -> Result<(), RationalTimeError>
function	resume	motolii-audio	engine/motolii-audio/src/clock.rs:247	public	凍結位置から走行を再開する(冪等 — 既に走行中なら何もしない)。	(self: &mut Self)
function	seek	motolii-audio	engine/motolii-audio/src/clock.rs:255	public	走行状態を変えずに`to`へ跳ぶ。	(self: &mut Self, to: RationalTime)
function	is_running	motolii-audio	engine/motolii-audio/src/clock.rs:259	public		(self: &Self) -> bool
function	sample_rate	motolii-audio	engine/motolii-audio/src/clock.rs:263	public		(self: &Self) -> u32
function	position	motolii-audio	engine/motolii-audio/src/clock.rs:268	public	現在の論理再生位置。停止中は凍結値(カウンタの続きを見ない)。	(self: &Self) -> Result<RationalTime, RationalTimeError>
function	perceptual_sample_frames	motolii-audio	engine/motolii-audio/src/clock.rs:45	public	聴感再生位置 = 供給済み − デバイス待ち(リング充填は引かない)。	(supplied_frames: u64, device_wait_frames: u64) -> u64
function	sample_frames_to_time	motolii-audio	engine/motolii-audio/src/clock.rs:50	public	デバイスサンプルフレーム位置を`RationalTime`へ(浮動小数秒を使わない)。	(frames: u64, sample_rate: u32) -> Result<RationalTime, RationalTimeError>
function	display_frame_without_latency_compensation	motolii-audio	engine/motolii-audio/src/clock.rs:61	public	補償なし(供給済み直結)の表示フレーム床 — ドリフトテストの対照用。	(supplied_frames: u64, sample_rate: u32, fps: Fps) -> Result<i64, RationalTimeError>
function	synced_display_frame	motolii-audio	engine/motolii-audio/src/clock.rs:70	public	聴感時刻から独立に同期表示フレームを求める(`next_frame_plan`と同等の床)。	(perceptual_time: RationalTime, fps: Fps) -> Result<i64, RationalTimeError>
function	drift_within_one_frame	motolii-audio	engine/motolii-audio/src/clock.rs:78	public	表示フレームPTS(床)と聴感時刻の差が1フレーム長以内か。	(display_frame: i64, perceptual_time: RationalTime, fps: Fps) -> Result<bool, RationalTimeError>
function	default	motolii-audio	engine/motolii-audio/src/clock.rs:99	default		() -> DeviceWaitLatency
function	fmt	motolii-audio	engine/motolii-audio/src/clock.rs:99	default		(self: &Self, f: &mut Formatter) -> Result
constant	CANONICAL_SAMPLE_RATE	motolii-audio	engine/motolii-audio/src/convert.rs:10	public	内部mixの正準サンプルレート。	
constant	CANONICAL_CHANNELS	motolii-audio	engine/motolii-audio/src/convert.rs:12	public	内部mixの正準チャンネル数(stereo)。	
function	canonical_format	motolii-audio	engine/motolii-audio/src/convert.rs:14	public		() -> PcmFormat
function	time_to_canonical_frames	motolii-audio	engine/motolii-audio/src/convert.rs:26	public	タイムライン時刻を正準(48kHz)サンプルフレーム数へ(旧	(t: RationalTime) -> u64
function	to_canonical	motolii-audio	engine/motolii-audio/src/convert.rs:38	public	任意形式のPCMを正準48k stereoへ変換する(channel-map → 必要なら固定比resample)。	(cache: &PcmCache) -> Result<PcmCache>
constant	MAX_SAMPLES	motolii-audio	engine/motolii-audio/src/decode.rs:26	public	decode1本あたりのサンプル数上限(D4)。旧 `ResourceLimits::production().max_samples`	
function	decode_file	motolii-audio	engine/motolii-audio/src/decode.rs:33	public	パスから楽曲1本をデコードし、インターリーブf32 PCM全展開キャッシュを作る。	(path: impl/dyn) -> Result<PcmCache>
function	decode_file_audio_ordinal	motolii-audio	engine/motolii-audio/src/decode.rs:38	public	kind内audio ordinalを指定してデコードする(AG-2)。欠落は`StreamNotFound`。	(path: impl/dyn, ordinal: u32) -> Result<PcmCache>
function	decode_stream	motolii-audio	engine/motolii-audio/src/decode.rs:53	public	`MediaSourceStream`から直接デコードする(テスト用: メモリ上のバイト列を	(mss: MediaSourceStream, hint: &Hint) -> Result<PcmCache>
function	pause	motolii-audio	engine/motolii-audio/src/device.rs:121	public		(self: &Self) -> Result<()>
function	play	motolii-audio	engine/motolii-audio/src/device.rs:125	public		(self: &Self) -> Result<()>
function	negotiate_output	motolii-audio	engine/motolii-audio/src/device.rs:131	public	デバイスのサポート範囲から出力レートを交渉する(D4-FU、旧版から無改造)。	(device: &Device, source: PcmFormat) -> Result<NegotiatedOutput>
function	select_device_sample_rate	motolii-audio	engine/motolii-audio/src/device.rs:163	public	サポート範囲リストからデバイス出力レートを選ぶ(ハードウェア無しの単体テスト用、	(source_rate: u32, ranges: &[(u32, u32)]) -> Option<u32>
function	clone	motolii-audio	engine/motolii-audio/src/device.rs:33	default		(self: &Self) -> NegotiatedOutput
function	fmt	motolii-audio	engine/motolii-audio/src/device.rs:33	default		(self: &Self, f: &mut Formatter) -> Result
struct	NegotiatedOutput	motolii-audio	engine/motolii-audio/src/device.rs:34	public	素材形式に対して選んだデバイス出力形式(D4-FU、旧版から無改造)。	
struct_field	source	motolii-audio	engine/motolii-audio/src/device.rs:36	public	素材(変換前PCM)の形式。	PcmFormat
struct_field	device_sample_rate	motolii-audio	engine/motolii-audio/src/device.rs:38	public	デバイスへ開くサンプルレート。	u32
function	device_format	motolii-audio	engine/motolii-audio/src/device.rs:44	public		(self: &Self) -> PcmFormat
function	needs_resample	motolii-audio	engine/motolii-audio/src/device.rs:51	public		(self: &Self) -> bool
struct	OutputStream	motolii-audio	engine/motolii-audio/src/device.rs:57	public	再生中のcpal出力ストリーム。Dropでストリームを止める。	
function	open_default	motolii-audio	engine/motolii-audio/src/device.rs:63	public	デフォルト出力デバイスへ`consumer`を繋いで再生を開始する。	(source: PcmFormat, consumer: Consumer<f32>, counters: Arc<PlaybackCounters>, device_wait: Arc<DeviceWaitLatency>) -> Result<(Self, NegotiatedOutput)>
function	open_on_device	motolii-audio	engine/motolii-audio/src/device.rs:77	public	指定デバイスへ`consumer`を繋いで再生を開始する(テスト/明示選択用)。	(device: &Device, source: PcmFormat, consumer: Consumer<f32>, counters: Arc<PlaybackCounters>, device_wait: Arc<DeviceWaitLatency>) -> Result<(Self, NegotiatedOutput)>
function	open_negotiated_shared	motolii-audio	engine/motolii-audio/src/device.rs:94	public	`PlaybackCounters`/`DeviceWaitLatency`(A1の`PlaybackClock`と共有する)で	(device: &Device, negotiated: &NegotiatedOutput, consumer: Consumer<f32>, counters: Arc<PlaybackCounters>, device_wait: Arc<DeviceWaitLatency>) -> Result<Self>
struct_field	0	motolii-audio	engine/motolii-audio/src/error.rs:102	default		RationalTimeError
variant	Time	motolii-audio	engine/motolii-audio/src/error.rs:102	default	A2: `PlaybackClock`/`RationalTime`演算の失敗(旧	tuple(1)
type_alias	Result	motolii-audio	engine/motolii-audio/src/error.rs:105	public		
function	fmt	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(self: &Self, f: &mut Formatter) -> Result
function	fmt	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(self: &Self, __formatter: &mut Formatter) -> Result
function	from	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(source: RationalTimeError) -> Self
function	from	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(source: StoreError) -> Self
function	from	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(source: Error) -> Self
function	from	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(source: Error) -> Self
function	from	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(source: Error) -> Self
function	source	motolii-audio	engine/motolii-audio/src/error.rs:11	default		(self: &Self) -> Option<&impl/dyn>
enum	AudioError	motolii-audio	engine/motolii-audio/src/error.rs:12	public	motolii-audioの全公開APIが返すエラー。	
struct_field	0	motolii-audio	engine/motolii-audio/src/error.rs:14	default		Error
variant	Io	motolii-audio	engine/motolii-audio/src/error.rs:14	default		tuple(1)
struct_field	0	motolii-audio	engine/motolii-audio/src/error.rs:17	default		Error
variant	Symphonia	motolii-audio	engine/motolii-audio/src/error.rs:17	default		tuple(1)
variant	NoAudioTrack	motolii-audio	engine/motolii-audio/src/error.rs:20	default		unit
variant	UnsupportedChannels	motolii-audio	engine/motolii-audio/src/error.rs:23	default		struct{1}
struct_field	channels	motolii-audio	engine/motolii-audio/src/error.rs:23	default		u16
variant	UnsupportedSampleRate	motolii-audio	engine/motolii-audio/src/error.rs:26	default		struct{1}
struct_field	sample_rate	motolii-audio	engine/motolii-audio/src/error.rs:26	default		u32
variant	MisalignedSamples	motolii-audio	engine/motolii-audio/src/error.rs:32	default	インターリーブサンプル数がチャンネル数の倍数でない(壊れたバッファ)。	struct{2}
struct_field	channels	motolii-audio	engine/motolii-audio/src/error.rs:32	default		u16
struct_field	len	motolii-audio	engine/motolii-audio/src/error.rs:32	default		usize
variant	OutOfRange	motolii-audio	engine/motolii-audio/src/error.rs:36	default	任意位置readの境界外アクセス(D4完了条件: 境界検査)。	struct{3}
struct_field	start	motolii-audio	engine/motolii-audio/src/error.rs:37	default		u64
struct_field	requested	motolii-audio	engine/motolii-audio/src/error.rs:38	default		usize
struct_field	total	motolii-audio	engine/motolii-audio/src/error.rs:39	default		u64
variant	SampleCountLimit	motolii-audio	engine/motolii-audio/src/error.rs:43	default		struct{2}
struct_field	limit	motolii-audio	engine/motolii-audio/src/error.rs:43	default		u64
struct_field	observed	motolii-audio	engine/motolii-audio/src/error.rs:43	default		u64
variant	Resample	motolii-audio	engine/motolii-audio/src/error.rs:47	default	固定比リサンプルの構築・処理失敗(D4-FU)。公開APIはpanicしない。	struct{1}
struct_field	detail	motolii-audio	engine/motolii-audio/src/error.rs:47	default		&str
variant	InvalidGain	motolii-audio	engine/motolii-audio/src/error.rs:51	default	AG-2: gainが有限かつ0以上でない。	struct{1}
struct_field	gain	motolii-audio	engine/motolii-audio/src/error.rs:51	default		f64
variant	InvalidPan	motolii-audio	engine/motolii-audio/src/error.rs:57	default	B42: panが有限でない(NaN/inf)。範囲外(-1..1超)自体はエラーにせず	struct{1}
struct_field	pan	motolii-audio	engine/motolii-audio/src/error.rs:57	default		f64
variant	InvalidFade	motolii-audio	engine/motolii-audio/src/error.rs:63	default	STORE3結線: `property::FADE_IN`/`FADE_OUT` の評価値が有限かつ0以上でない	struct{1}
struct_field	fade	motolii-audio	engine/motolii-audio/src/error.rs:63	default		f64
variant	InvalidMixRange	motolii-audio	engine/motolii-audio/src/error.rs:67	default	AG-2: mix範囲またはTimeMap写像が不正。	unit
variant	StreamNotFound	motolii-audio	engine/motolii-audio/src/error.rs:71	default	AG-2: 指定audio stream ordinalがコンテナに無い。	struct{1}
struct_field	ordinal	motolii-audio	engine/motolii-audio/src/error.rs:71	default		u32
struct_field	0	motolii-audio	engine/motolii-audio/src/error.rs:75	default		StoreError
variant	Store	motolii-audio	engine/motolii-audio/src/error.rs:75	default	store 側の読み取り(track/meta/attrs/composition)が失敗した。	tuple(1)
variant	NoOutputDevice	motolii-audio	engine/motolii-audio/src/error.rs:79	default	A2: デフォルト出力デバイスが無い(旧 `crates/motolii-audio` から無改造)。	unit
variant	UnsupportedOutputConfig	motolii-audio	engine/motolii-audio/src/error.rs:85	default	A2: 素材の channels/sample_rate に対応するデバイス出力 config が無い。	struct{3}
struct_field	channels	motolii-audio	engine/motolii-audio/src/error.rs:86	default		u16
struct_field	sample_rate	motolii-audio	engine/motolii-audio/src/error.rs:87	default		u32
struct_field	detail	motolii-audio	engine/motolii-audio/src/error.rs:88	default		&str
struct_field	0	motolii-audio	engine/motolii-audio/src/error.rs:93	default		Error
variant	Cpal	motolii-audio	engine/motolii-audio/src/error.rs:93	default	A2: cpal 側のエラー(device列挙・stream構築・play/pause 等)。	tuple(1)
struct_field	0	motolii-audio	engine/motolii-audio/src/error.rs:97	default		Error
variant	ProducerSpawn	motolii-audio	engine/motolii-audio/src/error.rs:97	default	A2: producer スレッドの起動失敗。	tuple(1)
module	motolii_audio	motolii-audio	engine/motolii-audio/src/lib.rs:1	public	owns: 音声の意味核 — 決定論的mix・Documentからのprogram組み立て・音声クロック・	
function	reset	motolii-audio	engine/motolii-audio/src/meter.rs:104	public	UIの手動リセット用。ラッチ式CLIPも含めて消す。	(self: &Self)
function	clone	motolii-audio	engine/motolii-audio/src/meter.rs:12	default		(self: &Self) -> MeterSnapshot
function	eq	motolii-audio	engine/motolii-audio/src/meter.rs:12	default		(self: &Self, other: &MeterSnapshot) -> bool
function	fmt	motolii-audio	engine/motolii-audio/src/meter.rs:12	default		(self: &Self, f: &mut Formatter) -> Result
struct	MeterSnapshot	motolii-audio	engine/motolii-audio/src/meter.rs:13	public	UI/診断向けの最新meter snapshot。	
struct_field	peak_l	motolii-audio	engine/motolii-audio/src/meter.rs:15	public	L/R の絶対値ピーク(直近観測窓、またはリセット後の累積 — `AudioMeter`の契約)。	f32
struct_field	peak_r	motolii-audio	engine/motolii-audio/src/meter.rs:16	public		f32
struct_field	clipped	motolii-audio	engine/motolii-audio/src/meter.rs:17	public		bool
function	default	motolii-audio	engine/motolii-audio/src/meter.rs:31	default		() -> AudioMeter
function	fmt	motolii-audio	engine/motolii-audio/src/meter.rs:31	default		(self: &Self, f: &mut Formatter) -> Result
struct	AudioMeter	motolii-audio	engine/motolii-audio/src/meter.rs:32	public	mix中に更新し、別スレッドが`snapshot`で読むだけのmeter。	
function	default	motolii-audio	engine/motolii-audio/src/meter.rs:39	default		() -> ClipLatch
function	fmt	motolii-audio	engine/motolii-audio/src/meter.rs:39	default		(self: &Self, f: &mut Formatter) -> Result
struct	ClipLatch	motolii-audio	engine/motolii-audio/src/meter.rs:40	public	再生開始またはユーザー操作で明示的に消すまでclip表示を維持するUI用ラッチ。	
function	new	motolii-audio	engine/motolii-audio/src/meter.rs:45	public		() -> Self
function	observe	motolii-audio	engine/motolii-audio/src/meter.rs:49	public		(self: &Self, snapshot: MeterSnapshot)
function	reset	motolii-audio	engine/motolii-audio/src/meter.rs:55	public		(self: &Self)
function	is_latched	motolii-audio	engine/motolii-audio/src/meter.rs:59	public		(self: &Self) -> bool
function	new	motolii-audio	engine/motolii-audio/src/meter.rs:65	public		() -> Self
function	observe_interleaved_stereo	motolii-audio	engine/motolii-audio/src/meter.rs:70	public	mix結果ブロックを観測する。PCM値は変更しない(呼び出し側バッファは読み取り専用)。	(self: &Self, samples: &[f32])
constant	CLIP_THRESHOLD	motolii-audio	engine/motolii-audio/src/meter.rs:9	public	`abs(sample) > 1.0` をclipとする(oversampling true-peakは非目標)。	
function	snapshot	motolii-audio	engine/motolii-audio/src/meter.rs:95	public		(self: &Self) -> MeterSnapshot
function	default	motolii-audio	engine/motolii-audio/src/mix.rs:103	default		() -> Self
function	clone	motolii-audio	engine/motolii-audio/src/mix.rs:109	default		(self: &Self) -> MixSource
function	fmt	motolii-audio	engine/motolii-audio/src/mix.rs:109	default		(self: &Self, f: &mut Formatter) -> Result
struct	MixSource	motolii-audio	engine/motolii-audio/src/mix.rs:110	public	mixへ投入する1 source(正準48k stereo cache前提)。	
struct_field	pcm	motolii-audio	engine/motolii-audio/src/mix.rs:111	public		Arc<PcmCache>
struct_field	timeline_start	motolii-audio	engine/motolii-audio/src/mix.rs:113	public	タイムライン上の開始。	RationalTime
struct_field	timeline_duration	motolii-audio	engine/motolii-audio/src/mix.rs:115	public	タイムライン上の尺(半開)。	RationalTime
struct_field	time_map	motolii-audio	engine/motolii-audio/src/mix.rs:117	public	clip_local → source 時刻(varispeed含む)。	TimeMap
struct_field	gain	motolii-audio	engine/motolii-audio/src/mix.rs:120	public	linear gain。`None` = track が無い(裁定20: 静止値 1.0)。`Some` は	Option<KeyframeTrack>
struct_field	pan	motolii-audio	engine/motolii-audio/src/mix.rs:125	public	stereo pan(定位、B42)。range -1.0(full left)..=1.0(full right)。	Option<KeyframeTrack>
struct_field	fade	motolii-audio	engine/motolii-audio/src/mix.rs:127	public	フェード仕様(B42)。既定は無フェード([`FadeSpec::NONE`])。	FadeSpec
struct_field	out_of_range	motolii-audio	engine/motolii-audio/src/mix.rs:128	public		AudioOutOfRange
struct_field	enabled	motolii-audio	engine/motolii-audio/src/mix.rs:129	public		bool
function	validate	motolii-audio	engine/motolii-audio/src/mix.rs:133	public		(self: &Self) -> Result<()>
function	clone	motolii-audio	engine/motolii-audio/src/mix.rs:150	default		(self: &Self) -> MixReport
function	default	motolii-audio	engine/motolii-audio/src/mix.rs:150	default		() -> MixReport
function	eq	motolii-audio	engine/motolii-audio/src/mix.rs:150	default		(self: &Self, other: &MixReport) -> bool
function	fmt	motolii-audio	engine/motolii-audio/src/mix.rs:150	default		(self: &Self, f: &mut Formatter) -> Result
struct	MixReport	motolii-audio	engine/motolii-audio/src/mix.rs:151	public	`mix_audio` の結果メタ(正規silenceとunderflowの区別用)。	
struct_field	frames	motolii-audio	engine/motolii-audio/src/mix.rs:153	public	出力フレーム数。	usize
struct_field	silence_frames	motolii-audio	engine/motolii-audio/src/mix.rs:155	public	sourceが無くgap/silenceで埋めたフレーム数(正規silence。underflowではない)。	usize
function	mix_audio	motolii-audio	engine/motolii-audio/src/mix.rs:164	public	正準フレーム範囲 `[start_frame, start_frame + frame_count)` を mix する。	(sources: &[MixSource], master_gain: f64, start_frame: u64, frame_count: usize, meter: Option<&AudioMeter>) -> Result<(Vec<f32>, MixReport)>
function	normalize_gain_for_peak	motolii-audio	engine/motolii-audio/src/mix.rs:374	public	map id42(Loudness normalisation)の薄い顔。**真の LUFS(ITU-R BS.1770	(pcm: &PcmCache, target_peak: f64) -> Result<f64>
function	clone	motolii-audio	engine/motolii-audio/src/mix.rs:58	default		(self: &Self) -> AudioOutOfRange
function	default	motolii-audio	engine/motolii-audio/src/mix.rs:58	default		() -> AudioOutOfRange
function	eq	motolii-audio	engine/motolii-audio/src/mix.rs:58	default		(self: &Self, other: &AudioOutOfRange) -> bool
function	fmt	motolii-audio	engine/motolii-audio/src/mix.rs:58	default		(self: &Self, f: &mut Formatter) -> Result
enum	AudioOutOfRange	motolii-audio	engine/motolii-audio/src/mix.rs:59	public	ソース採取が素材の実尺を外れたときの挙動。旧 `motolii_doc::AudioOutOfRange` と	
variant	Silence	motolii-audio	engine/motolii-audio/src/mix.rs:62	default	無音。	unit
variant	Loop	motolii-audio	engine/motolii-audio/src/mix.rs:64	default	素材の実尺で wrap する。	unit
function	clone	motolii-audio	engine/motolii-audio/src/mix.rs:68	default		(self: &Self) -> FadeCurve
function	default	motolii-audio	engine/motolii-audio/src/mix.rs:68	default		() -> FadeCurve
function	eq	motolii-audio	engine/motolii-audio/src/mix.rs:68	default		(self: &Self, other: &FadeCurve) -> bool
function	fmt	motolii-audio	engine/motolii-audio/src/mix.rs:68	default		(self: &Self, f: &mut Formatter) -> Result
enum	FadeCurve	motolii-audio	engine/motolii-audio/src/mix.rs:69	public	フェードの補間則(B42)。	
variant	Linear	motolii-audio	engine/motolii-audio/src/mix.rs:71	default	直線(振幅を時間に対して線形に変化させる)。	unit
variant	EqualPower	motolii-audio	engine/motolii-audio/src/mix.rs:75	default	等パワー(`sin`/`cos`)。隣接クリップとのクロスフェードで音量の谷を	unit
function	clone	motolii-audio	engine/motolii-audio/src/mix.rs:86	default		(self: &Self) -> FadeSpec
function	eq	motolii-audio	engine/motolii-audio/src/mix.rs:86	default		(self: &Self, other: &FadeSpec) -> bool
function	fmt	motolii-audio	engine/motolii-audio/src/mix.rs:86	default		(self: &Self, f: &mut Formatter) -> Result
struct	FadeSpec	motolii-audio	engine/motolii-audio/src/mix.rs:87	public	レイヤー単位のフェード仕様(B42、map id3/23)。	
struct_field	fade_in	motolii-audio	engine/motolii-audio/src/mix.rs:88	public		RationalTime
struct_field	fade_out	motolii-audio	engine/motolii-audio/src/mix.rs:89	public		RationalTime
struct_field	curve	motolii-audio	engine/motolii-audio/src/mix.rs:90	public		FadeCurve
function	seek	motolii-audio	engine/motolii-audio/src/producer.rs:112	public	走行中に目標(正準48kサンプルフレーム)へ跳ぶ。次ループ先頭で反映される —	(self: &Self, frame: u64)
function	finished	motolii-audio	engine/motolii-audio/src/producer.rs:117	public	終端まで供給し終えた(flush含む)か。	(self: &Self) -> bool
function	stop	motolii-audio	engine/motolii-audio/src/producer.rs:123	public	供給を止めてスレッドをjoinする(`?`早期returnで飛ばされないよう、	(self: Self)
function	drop	motolii-audio	engine/motolii-audio/src/producer.rs:136	default		(self: &mut Self)
struct	MixProducer	motolii-audio	engine/motolii-audio/src/producer.rs:57	public	`AudioProgram`をmixしてリングへ供給するプロデューサ(A2)。	
function	spawn	motolii-audio	engine/motolii-audio/src/producer.rs:68	public	`start_frame`(正準48kサンプルフレーム — comp動画フレームではない、	(program: Arc<AudioProgram>, producer: Producer<f32>, start_frame: u64, device_sample_rate: u32) -> Result<Self>
function	sources	motolii-audio	engine/motolii-audio/src/program.rs:119	public		(self: &Self) -> &[MixSource]
function	master_gain	motolii-audio	engine/motolii-audio/src/program.rs:123	public		(self: &Self) -> f64
function	composition_duration	motolii-audio	engine/motolii-audio/src/program.rs:128	public	Documentが所有するcomposition尺。	(self: &Self) -> RationalTime
function	mix_audio	motolii-audio	engine/motolii-audio/src/program.rs:133	public	preview/export同一の `mix_audio` 入口。	(self: &Self, start_frame: u64, frame_count: usize, meter: Option<&AudioMeter>) -> Result<(Vec<f32>, MixReport)>
function	program_from_sources	motolii-audio	engine/motolii-audio/src/program.rs:271	public	テスト用: source を直接渡して `AudioProgram` を作る(store を経由しない)。	(sources: Vec<MixSource>, master_gain: f64, composition_duration: RationalTime) -> AudioProgram
function	clone	motolii-audio	engine/motolii-audio/src/program.rs:76	default		(self: &Self) -> AudioProgram
function	fmt	motolii-audio	engine/motolii-audio/src/program.rs:76	default		(self: &Self, f: &mut Formatter) -> Result
struct	AudioProgram	motolii-audio	engine/motolii-audio/src/program.rs:77	public	`StoreView` 由来の音声プログラム(正準mix入力)。	
function	from_view	motolii-audio	engine/motolii-audio/src/program.rs:90	public	`StoreView::layers()` の順で source を列挙する。この並びは store の重ね順	(view: &StoreView, caches: &mut HashMap<(String, u32), Arc<PcmCache>>) -> Result<Self>
function	process_partial_interleaved	motolii-audio	engine/motolii-audio/src/resample.rs:113	public	トラック終端など、必要フレーム未満の残りを流し込む。	(self: &mut Self, input: &[f32]) -> Result<&[f32]>
function	flush_silence_chunk	motolii-audio	engine/motolii-audio/src/resample.rs:134	public	無音/空入力で遅延分を吐き切る(終端フラッシュ)。	(self: &mut Self) -> Result<&[f32]>
struct	FixedRatioResampler	motolii-audio	engine/motolii-audio/src/resample.rs:17	public	素材レート→デバイスレートの固定比リサンプラ。	
function	source_frame_to_device	motolii-audio	engine/motolii-audio/src/resample.rs:182	public	ソースフレーム番号をデバイス側フレーム番号へ写す(整数比の切り捨て)。	(source_frame: u64, source_rate: u32, device_rate: u32) -> u64
function	new	motolii-audio	engine/motolii-audio/src/resample.rs:29	public	`source_rate != device_rate` のときだけ成功する。一致時は呼び出し側が恒等パスを選ぶ。	(source_rate: u32, device_rate: u32, channels: u16) -> Result<Self>
function	channels	motolii-audio	engine/motolii-audio/src/resample.rs:73	public		(self: &Self) -> usize
function	input_frames_next	motolii-audio	engine/motolii-audio/src/resample.rs:77	public		(self: &Self) -> usize
function	output_delay	motolii-audio	engine/motolii-audio/src/resample.rs:81	public		(self: &Self) -> usize
function	reset	motolii-audio	engine/motolii-audio/src/resample.rs:86	public	シーク/再起動時: 内部状態と先頭 trim を初期化する。	(self: &mut Self)
function	process_interleaved	motolii-audio	engine/motolii-audio/src/resample.rs:95	public	インターリーブ入力を1チャンク処理し、trim 後のインターリーブ出力を返す。	(self: &mut Self, input: &[f32]) -> Result<&[f32]>
function	fill_or_silence	motolii-audio	engine/motolii-audio/src/ring.rs:27	public	`consumer`から`dst`(インターリーブ、`channels`の倍数長)を**フレーム単位**で読む。	(consumer: &mut Consumer<f32>, dst: &mut [f32], channels: usize, counters: &PlaybackCounters)
function	clock_mut	motolii-audio	engine/motolii-audio/src/session.rs:103	public		(self: &mut Self) -> &mut PlaybackClock
