kind	owner	field_or_literal	value	file	line	context	suggested_token	verdict
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	359	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	360	colors.border_default	border_default	GREEN
token_ref	dims	inspector_row_height	token	next/shell/motolii-shell/src/screenshot.rs	365	dims.inspector_row_height	inspector_row_height	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	369	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	370	colors.border_default	border_default	GREEN
token_ref	dims	inspector_section_header_height	token	next/shell/motolii-shell/src/screenshot.rs	376	dims.inspector_section_header_height	inspector_section_header_height	GREEN
token_ref	dims	inspector_row_height	token	next/shell/motolii-shell/src/screenshot.rs	380	dims.inspector_row_height	inspector_row_height	GREEN
token_ref	dims	inspector_section_header_height	token	next/shell/motolii-shell/src/screenshot.rs	384	dims.inspector_section_header_height	inspector_section_header_height	GREEN
token_ref	dims	inspector_row_height	token	next/shell/motolii-shell/src/screenshot.rs	388	dims.inspector_row_height	inspector_row_height	GREEN
token_ref	dims	inspector_section_header_height	token	next/shell/motolii-shell/src/screenshot.rs	392	dims.inspector_section_header_height	inspector_section_header_height	GREEN
token_ref	dims	inspector_row_height	token	next/shell/motolii-shell/src/screenshot.rs	393	dims.inspector_row_height	inspector_row_height	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	397	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_hairline_weak	token	next/shell/motolii-shell/src/screenshot.rs	398	colors.border_hairline_weak	border_hairline_weak	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	407	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	408	colors.border_default	border_default	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	451	dims.row_height	row_height	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	454	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.text.micro	token	next/shell/motolii-shell/src/screenshot.rs	454	theme.text.micro	theme.text.micro	GREEN
token_ref	colors	surface_panel	token	next/shell/motolii-shell/src/screenshot.rs	467	colors.surface_panel	surface_panel	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	468	colors.border_default	border_default	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	468	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	surface_raised	token	next/shell/motolii-shell/src/screenshot.rs	473	colors.surface_raised	surface_raised	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	474	colors.border_default	border_default	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	474	theme.stroke.hairline	theme.stroke.hairline	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	477	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	478	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	480	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	481	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	487	theme.space.s	theme.space.s	GREEN
token_ref	colors	surface_raised	token	next/shell/motolii-shell/src/screenshot.rs	488	colors.surface_raised	surface_raised	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	489	colors.border_default	border_default	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	489	theme.stroke.hairline	theme.stroke.hairline	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	493	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.space.l	token	next/shell/motolii-shell/src/screenshot.rs	528	theme.space.l	theme.space.l	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	529	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.size.panel_header	token	next/shell/motolii-shell/src/screenshot.rs	532	theme.size.panel_header	theme.size.panel_header	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	537	dims.row_height	row_height	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	543	dims.row_height	row_height	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	544	dims.row_height	row_height	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	547	dims.row_height	row_height	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	548	dims.row_height	row_height	GREEN
token_ref	dims	timeline_param_row_height	token	next/shell/motolii-shell/src/screenshot.rs	549	dims.timeline_param_row_height	timeline_param_row_height	GREEN
utility_ref	theme	theme.size.transport	token	next/shell/motolii-shell/src/screenshot.rs	550	theme.size.transport	theme.size.transport	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	551	dims.row_height	row_height	GREEN
component_ref	dims.components	browser.panel_height_row_height_ratio	token	next/shell/motolii-shell/src/screenshot.rs	563	dims.components.browser.panel_height_row_height_ratio	browser.panel_height_row_height_ratio	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	563	dims.row_height	row_height	GREEN
token_ref	dims	inspector_panel_width	token	next/shell/motolii-shell/src/screenshot.rs	590	dims.inspector_panel_width	inspector_panel_width	GREEN
token_ref	colors	surface_app	token	next/shell/motolii-shell/src/screenshot.rs	596	colors.surface_app	surface_app	GREEN
token_ref	colors	surface_panel	token	next/shell/motolii-shell/src/screenshot.rs	610	colors.surface_panel	surface_panel	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	615	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	616	colors.border_default	border_default	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	619	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	624	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	626	theme.space.xs	theme.space.xs	GREEN
token_ref	colors	surface_raised	token	next/shell/motolii-shell/src/screenshot.rs	627	colors.surface_raised	surface_raised	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	629	theme.space.s	theme.space.s	GREEN
token_ref	colors	surface_app	token	next/shell/motolii-shell/src/screenshot.rs	651	colors.surface_app	surface_app	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	718	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	action_active	token	next/shell/motolii-shell/src/screenshot.rs	719	colors.action_active	action_active	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	734	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_hairline_weak	token	next/shell/motolii-shell/src/screenshot.rs	735	colors.border_hairline_weak	border_hairline_weak	GREEN
token_ref	dims	timeline_lane_bar_width	token	next/shell/motolii-shell/src/screenshot.rs	744	dims.timeline_lane_bar_width	timeline_lane_bar_width	GREEN
token_ref	colors	surface_panel	token	next/shell/motolii-shell/src/screenshot.rs	753	colors.surface_panel	surface_panel	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	755	dims.row_height	row_height	GREEN
token_ref	colors	surface_raised	token	next/shell/motolii-shell/src/screenshot.rs	764	colors.surface_raised	surface_raised	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	773	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	774	colors.border_default	border_default	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	788	dims.row_height	row_height	GREEN
component_ref	dims.components	timeline.target_cell_ratio	token	next/shell/motolii-shell/src/screenshot.rs	789	dims.components.timeline.target_cell_ratio	timeline.target_cell_ratio	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	799	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	799	theme.space.s	theme.space.s	GREEN
token_ref	colors	border_strong	token	next/shell/motolii-shell/src/screenshot.rs	802	colors.border_strong	border_strong	GREEN
token_ref	colors	border_hairline_weak	token	next/shell/motolii-shell/src/screenshot.rs	804	colors.border_hairline_weak	border_hairline_weak	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	806	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	822	dims.row_height	row_height	GREEN
token_ref	dims	timeline_param_row_height	token	next/shell/motolii-shell/src/screenshot.rs	823	dims.timeline_param_row_height	timeline_param_row_height	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	833	dims.row_height	row_height	GREEN
token_ref	colors	timeline_row_zebra	token	next/shell/motolii-shell/src/screenshot.rs	834	colors.timeline_row_zebra	timeline_row_zebra	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	843	dims.row_height	row_height	GREEN
component_ref	dims.components	timeline.target_cell_ratio	token	next/shell/motolii-shell/src/screenshot.rs	844	dims.components.timeline.target_cell_ratio	timeline.target_cell_ratio	GREEN
token_ref	colors	timeline_time_band	token	next/shell/motolii-shell/src/screenshot.rs	861	colors.timeline_time_band	timeline_time_band	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	881	dims.row_height	row_height	GREEN
component_ref	dims.components	timeline.target_cell_ratio	token	next/shell/motolii-shell/src/screenshot.rs	882	dims.components.timeline.target_cell_ratio	timeline.target_cell_ratio	GREEN
token_ref	colors	timeline_grid_major	token	next/shell/motolii-shell/src/screenshot.rs	890	colors.timeline_grid_major	timeline_grid_major	GREEN
token_ref	colors	timeline_grid_minor	token	next/shell/motolii-shell/src/screenshot.rs	892	colors.timeline_grid_minor	timeline_grid_minor	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	894	theme.stroke.hairline	theme.stroke.hairline	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	910	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	way_timeline	token	next/shell/motolii-shell/src/screenshot.rs	911	colors.way_timeline	way_timeline	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	919	dims.row_height	row_height	GREEN
token_ref	dims	timeline_param_row_height	token	next/shell/motolii-shell/src/screenshot.rs	920	dims.timeline_param_row_height	timeline_param_row_height	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	933	dims.row_height	row_height	GREEN
token_ref	colors	state_selected	token	next/shell/motolii-shell/src/screenshot.rs	934	colors.state_selected	state_selected	GREEN
token_ref	colors	text_muted	token	next/shell/motolii-shell/src/screenshot.rs	948	colors.text_muted	text_muted	GREEN
token_ref	colors	way_timeline	token	next/shell/motolii-shell/src/screenshot.rs	955	colors.way_timeline	way_timeline	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	960	theme.space.xs	theme.space.xs	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	962	dims.row_height	row_height	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	962	theme.space.s	theme.space.s	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	972	dims.row_height	row_height	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	973	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_hairline_weak	token	next/shell/motolii-shell/src/screenshot.rs	974	colors.border_hairline_weak	border_hairline_weak	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	980	theme.space.m	theme.space.m	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	981	dims.row_height	row_height	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	984	theme.space.s	theme.space.s	GREEN
token_ref	colors	way_timeline	token	next/shell/motolii-shell/src/screenshot.rs	988	colors.way_timeline	way_timeline	GREEN
token_ref	dims	inspector_glyph_width	token	next/shell/motolii-shell/src/screenshot.rs	991	dims.inspector_glyph_width	inspector_glyph_width	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	992	dims.row_height	row_height	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	992	theme.space.xs	theme.space.xs	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	993	dims.row_height	row_height	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	994	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/screenshot.rs	996	theme.space.s	theme.space.s	GREEN
token_ref	colors	action_active	token	next/shell/motolii-shell/src/screenshot.rs	998	colors.action_active	action_active	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	998	colors.border_default	border_default	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	1002	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	dims	timeline_param_row_height	token	next/shell/motolii-shell/src/screenshot.rs	1017	dims.timeline_param_row_height	timeline_param_row_height	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/screenshot.rs	1018	dims.row_height	row_height	GREEN
token_ref	colors	timeline_row_zebra	token	next/shell/motolii-shell/src/screenshot.rs	1028	colors.timeline_row_zebra	timeline_row_zebra	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	1036	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_hairline_weak	token	next/shell/motolii-shell/src/screenshot.rs	1037	colors.border_hairline_weak	border_hairline_weak	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/screenshot.rs	1039	theme.space.m	theme.space.m	GREEN
token_ref	colors	action_active	token	next/shell/motolii-shell/src/screenshot.rs	1047	colors.action_active	action_active	GREEN
token_ref	colors	way_timeline	token	next/shell/motolii-shell/src/screenshot.rs	1049	colors.way_timeline	way_timeline	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	1064	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	1065	colors.border_default	border_default	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	1074	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	action_active	token	next/shell/motolii-shell/src/screenshot.rs	1075	colors.action_active	action_active	GREEN
token_ref	colors	surface_panel	token	next/shell/motolii-shell/src/screenshot.rs	1086	colors.surface_panel	surface_panel	GREEN
token_ref	colors	status_warning	token	next/shell/motolii-shell/src/screenshot.rs	1094	colors.status_warning	status_warning	GREEN
token_ref	colors	text_muted	token	next/shell/motolii-shell/src/screenshot.rs	1096	colors.text_muted	text_muted	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/screenshot.rs	1101	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/screenshot.rs	1102	colors.border_default	border_default	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/screenshot.rs	1108	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/source_preview.rs	235	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.text.body	token	next/shell/motolii-shell/src/source_preview.rs	238	theme.text.body	theme.text.body	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/source_preview.rs	239	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.space.l	token	next/shell/motolii-shell/src/source_preview.rs	240	theme.space.l	theme.space.l	GREEN
token_ref	colors	surface_panel	token	next/shell/motolii-shell/src/source_preview.rs	244	colors.surface_panel	surface_panel	GREEN
utility_ref	theme	theme.space.l	token	next/shell/motolii-shell/src/view.rs	348	theme.space.l	theme.space.l	GREEN
utility_ref	theme	theme.space.l	token	next/shell/motolii-shell/src/view.rs	382	theme.space.l	theme.space.l	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/view.rs	499	theme.space.m	theme.space.m	GREEN
token_ref	dims	row_height	token	next/shell/motolii-shell/src/view.rs	501	dims.row_height	row_height	GREEN
raw_literal		0.0	0.0	next/shell/motolii-shell/src/view.rs	505	size	view_size	IGNORED_ZERO
token_ref	colors	surface_hover	token	next/shell/motolii-shell/src/view.rs	517	colors.surface_hover	surface_hover	GREEN
token_ref	colors	focus	token	next/shell/motolii-shell/src/view.rs	519	colors.focus	focus	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/view.rs	520	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	focus	token	next/shell/motolii-shell/src/view.rs	525	colors.focus	focus	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/view.rs	526	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	focus	token	next/shell/motolii-shell/src/view.rs	529	colors.focus	focus	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/view.rs	530	theme.stroke.hairline	theme.stroke.hairline	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/view.rs	537	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.space.l	token	next/shell/motolii-shell/src/view.rs	538	theme.space.l	theme.space.l	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/view.rs	561	theme.space.xs	theme.space.xs	GREEN
token_ref	colors	text_muted	token	next/shell/motolii-shell/src/view.rs	564	colors.text_muted	text_muted	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/view.rs	575	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/view.rs	575	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.text.micro	token	next/shell/motolii-shell/src/view.rs	618	theme.text.micro	theme.text.micro	GREEN
token_ref	colors	text_secondary	token	next/shell/motolii-shell/src/view.rs	619	colors.text_secondary	text_secondary	GREEN
utility_ref	theme	theme.size.pane_header	token	next/shell/motolii-shell/src/view.rs	621	theme.size.pane_header	theme.size.pane_header	GREEN
raw_literal		0.0	0.0	next/shell/motolii-shell/src/view.rs	623	padding	view_padding	IGNORED_ZERO
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/view.rs	623	theme.space.m	theme.space.m	GREEN
raw_literal		0	0	next/shell/motolii-shell/src/view.rs	625	padding	view_padding	IGNORED_ZERO
token_ref	colors	surface_raised	token	next/shell/motolii-shell/src/view.rs	627	colors.surface_raised	surface_raised	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/view.rs	679	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.size.panel_header	token	next/shell/motolii-shell/src/view.rs	686	theme.size.panel_header	theme.size.panel_header	GREEN
raw_literal		0.0	0.0	next/shell/motolii-shell/src/view.rs	687	padding	view_padding	IGNORED_ZERO
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/view.rs	687	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.text.body	token	next/shell/motolii-shell/src/view.rs	710	theme.text.body	theme.text.body	GREEN
token_ref	colors	text_secondary	token	next/shell/motolii-shell/src/view.rs	711	colors.text_secondary	text_secondary	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/view.rs	715	theme.space.s	theme.space.s	GREEN
token_ref	colors	surface_hover	token	next/shell/motolii-shell/src/view.rs	721	colors.surface_hover	surface_hover	GREEN
token_ref	colors	text_secondary	token	next/shell/motolii-shell/src/view.rs	730	colors.text_secondary	text_secondary	GREEN
token_ref	colors	text_primary	token	next/shell/motolii-shell/src/view.rs	736	colors.text_primary	text_primary	GREEN
utility_ref	theme	theme.text.caption	token	next/shell/motolii-shell/src/view.rs	736	theme.text.caption	theme.text.caption	GREEN
utility_ref	theme	theme.space.s	token	next/shell/motolii-shell/src/view.rs	737	theme.space.s	theme.space.s	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/view.rs	737	theme.space.xs	theme.space.xs	GREEN
token_ref	colors	surface_raised	token	next/shell/motolii-shell/src/view.rs	739	colors.surface_raised	surface_raised	GREEN
token_ref	colors	border_default	token	next/shell/motolii-shell/src/view.rs	741	colors.border_default	border_default	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/view.rs	742	theme.stroke.hairline	theme.stroke.hairline	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/view.rs	749	theme.space.xs	theme.space.xs	GREEN
utility_ref	theme	theme.text.body	token	next/shell/motolii-shell/src/view.rs	857	theme.text.body	theme.text.body	GREEN
token_ref	colors	text_muted	token	next/shell/motolii-shell/src/view.rs	858	colors.text_muted	text_muted	GREEN
raw_literal		0.0	0.0	next/shell/motolii-shell/src/view.rs	893	spacing	view_spacing	IGNORED_ZERO
raw_literal		0.0	0.0	next/shell/motolii-shell/src/view.rs	894	spacing	view_spacing	IGNORED_ZERO
token_ref	colors	surface_app	token	next/shell/motolii-shell/src/view.rs	898	colors.surface_app	surface_app	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/view.rs	901	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	surface_panel	token	next/shell/motolii-shell/src/view.rs	918	colors.surface_panel	surface_panel	GREEN
utility_ref	theme	theme.stroke.hairline	token	next/shell/motolii-shell/src/view.rs	921	theme.stroke.hairline	theme.stroke.hairline	GREEN
token_ref	colors	status_warning	token	next/shell/motolii-shell/src/view.rs	942	colors.status_warning	status_warning	GREEN
token_ref	colors	text_muted	token	next/shell/motolii-shell/src/view.rs	945	colors.text_muted	text_muted	GREEN
utility_ref	theme	theme.text.caption	token	next/shell/motolii-shell/src/view.rs	948	theme.text.caption	theme.text.caption	GREEN
utility_ref	theme	theme.space.m	token	next/shell/motolii-shell/src/view.rs	950	theme.space.m	theme.space.m	GREEN
utility_ref	theme	theme.space.xs	token	next/shell/motolii-shell/src/view.rs	950	theme.space.xs	theme.space.xs	GREEN
