crate	bundle	束の名前	map_id	freq	項目	意味	verdict
ui/motolii-timeline-pane	B19	マーカー/フラグ束	739	1	Modify Marker	Shift+M	結線待ち
ui/motolii-timeline-pane	B21	再生/スクラブ束	879	1	Manually preview video	ビデオを手動プレビュー	採用予定
ui/motolii-timeline-pane	B21	再生/スクラブ束	960	1	Start or stop preview	プレビュー開始/停止	採用予定
ui/motolii-stage-pane	B17	カメラ/3Dビュー束	113	1	Camera…	新規カメラレイヤー	採用予定
ui/motolii-stage-pane	B17	カメラ/3Dビュー束	134	1	Switch to 3D view 3 (Active Camera)	3Dビュー3(アクティブカメラ)へ	採用予定
ui/motolii-stage-pane	B17	カメラ/3Dビュー束	137	1	Switch to Dolly camera control	ドリーカメラ操作へ	採用予定
ui/motolii-stage-pane	B17	カメラ/3Dビュー束	139	1	Switch to Orbit camera control	オービットカメラ操作へ	採用予定
ui/motolii-stage-pane	B17	カメラ/3Dビュー束	140	1	Switch to Pan camera control	パンカメラ操作へ	採用予定
ui/motolii-stage-pane	B17	カメラ/3Dビュー束	146	1	Track Camera	カメラトラッキング	採用予定
ui/motolii-menubar	B11	File束(MB-1延長)	1232	1	Close Project	プロジェクトを閉じる	採用予定
ui/motolii-menubar	B11	File束(MB-1延長)	1238	1	New project = Ctrl+N	新規プロジェクト	採用予定
ui/motolii-menubar	B11	File束(MB-1延長)	1243	1	Revert	直前保存状態に戻す	採用予定
ui/motolii-menubar	B33	クリップボード/履歴束(MB-0延長)	449	1	Copy/Cut/Paste = Ctrl+C/X/V	コピー/切り取り/貼り付け	採用予定
ui/motolii-menubar	B33	クリップボード/履歴束(MB-0延長)	453	1	Duplicate selected items	選択項目を複製	採用予定
ui/motolii-menubar	B33	クリップボード/履歴束(MB-0延長)	466	1	Undo	アンドゥ履歴を消去	採用予定
ui/motolii-browser-pane	B08	素材取り込み束	167	2	Replace (footage/clip)	素材・クリップを置換	採用予定
ui/motolii-browser-pane	B08	素材取り込み束	606	1	Import…	読み込み時の既定動作設定	採用予定
ui/motolii-browser-pane	B08	素材取り込み束	614	1	Reload selected footage items	選択素材を再読み込み	採用予定
ui/motolii-browser-pane	B08	素材取り込み束	616	1	Replace selected footage item	選択素材を置換	採用予定
ui/motolii-browser-pane	B08	素材取り込み束	618	1	Replace source for selected layer	選択レイヤーのソースを置換(ドラッグ)	採用予定
ui/motolii-inspector-pane	B37	速度/リタイム束	169	2	Speed / Duration	クリップの速度・長さを変更	採用予定
ui/motolii-inspector-pane	B37	速度/リタイム束	837	1	Enable Time Remapping	タイムリマップを有効化	採用予定
(家が未決)	B29	ツール切替束	109	1	Activate and cycle Camera tools	カメラツールを巡回	採用予定
(家が未決)	B32	ロック/可視性/リンク束	1331	1	Enable/Disable Video Tracks	映像トラック有効/無効	採用予定
(家が未決)	B32	ロック/可視性/リンク束	1340	1	Lock/Unlock Video Track V1-V8(grouped, pattern)	Option+Shift+1..Option+Shift+8	採用予定
(家が未決)	B32	ロック/可視性/リンク束	230	1	Link Clips	クリップをリンク	採用予定
(家が未決)	B36	新規コンテンツ作成束	658	1	Composition Settings…	コンポジション設定	採用予定
(家が未決)	B36	新規コンテンツ作成束	684	1	New Composition…	新規コンポジション	採用予定
