# Lottie の全語彙と、Motolii がそれをどう扱うかの地図。
# lottie.schema.json(上流そのまま)から機械生成した骨に、判断を書き込む。
# 状態: 採用済 / 採用予定 / 不採用 / 未判定 / 該当なし
# 採用済 の行は evidence 列に**コード中に実在する識別子**を持つ。試験が grep して確かめるので自己申告にならない。
# 採用予定 の行は unit 列に**発注単位**を持つ。束は地図の見え方の1つで、別の台帳を作らない。
# source 列: どの上流スキーマ由来か。lottie = Lottie 公式スキーマ、rive = rive-runtime の dev/defs。
# スキーマとの機械照合(the_map_covers_the_whole_schema)は source=lottie の行だけを見る。
# 試験 lottie_coverage.rs が「スキーマにあって表に無い」「表にあってスキーマに無い」を落とす。
group	object	field	title	status	note	evidence	unit	source
composition	animation	w	Width	採用済	Composition.width	pub width: u32		lottie
composition	composition	layers	Layers	採用済	layer の集合。store の entity(LayerId)。重ね順は配列順ではなく LayerMeta.order(裁定36)	pub fn layers(		lottie
composition	metadata	a	Author	不採用	配信物のメタ(著者)			lottie
composition	metadata	d	Description	不採用	配信物のメタ(説明)			lottie
composition	metadata	g	Generator	不採用	生成した器具の名前。編集の意味ではない			lottie
composition	metadata	k	Keywords	不採用	配信物のメタ(キーワード)			lottie
composition	metadata	tc	Theme Color	不採用	表示側の飾りで document の意味ではない			lottie
composition	motion-blur	asl	Adaptive Sample Limit	不採用	モーションブラーの実装パラメータ。合成器側の関心			lottie
composition	motion-blur	sa	Shutter Angle	不採用	同上(シャッター角)			lottie
composition	motion-blur	sp	Shutter Phase	不採用	同上(シャッター位相)			lottie
composition	motion-blur	spf	Samples per Frame	不採用	同上(フレームあたりサンプル数)			lottie
composition	user-metadata	customProps	Custom Properties	不採用	型のない袋を document に開けると、そこが第二の意味の置き場になる			lottie
composition	user-metadata	filename	Filename	不採用	file 名を file の中に書く形。名前を変えた瞬間ずれるので正本が2つになる			lottie
constants	blend-mode		Blend Mode	採用済	0..15。発明の余地が無い(裁定67)。層の語彙なので束を shape-2 から layer-meta へ付け替え(2026-08-20、shape-2レーンの指摘)	pub enum BlendMode	layer-meta	lottie
constants	composite		Composite	採用済	repeater の Above/Below	pub enum Composite	shape-1	lottie
constants	fill-rule		Fill Rule	採用済	nonzero / evenodd。中マドを賄う	pub enum FillRule	shape-1	lottie
constants	font-path-origin		Font Path Origin	不採用	フォント取得元4種は Web プレイヤの都合			lottie
constants	gradient-type		Gradient Type	採用済	linear / radial	pub enum GradientType	shape-2	lottie
constants	line-cap		Line Cap	採用済	butt/round/square	pub enum LineCap	shape-1	lottie
constants	line-join		Line Join	採用済	miter/round/bevel。offset-path と共有	pub enum LineJoin	shape-1	lottie
constants	mask-mode		Mask Mode	採用済	Add/Subtract/Intersect/Lighten/Darken/Difference。`None` は列挙に混ぜない — 消すことはモードではない(serde が `"None"` を弾くことを試験で縛る)	pub enum MaskMode	mask	lottie
constants	matte-mode		Matte Mode	採用済	Alpha/InvertedAlpha/Luma/InvertedLuma は AE の語彙(裁定66)。層の語彙なので束を shape-2 から layer-meta へ付け替え(2026-08-20、shape-2レーンの指摘)。**まだ合成器は読んでいない**(bm と同じ未消費 — 敵対的レビューが黙った穴として指摘、2026-08-20)	pub enum MatteMode	layer-meta	lottie
constants	merge-mode		Merge Mode	不採用	パスブーリアンは対象外			lottie
constants	shape-direction		Shape Direction	不採用	頂点順で表現する			lottie
constants	star-type		Star Type	採用済	star / polygon	pub enum StarType	shape-2	lottie
constants	stroke-dash-type		Stroke Dash Type	不採用	pattern + offset の2フィールドに畳む			lottie
constants	text-based		Text Based	採用済	範囲選択器の粒度。AE 由来で発明の余地が無い。「文字」はクラスタに読み替える	pub enum TextBasedOn	text	lottie
constants	text-caps		Text Caps	不採用	表示だけ大文字化は元文字列と表示の二重帳簿。SmallCaps は OpenType 側			lottie
constants	text-grouping		Text Grouping	採用済	グループ内アンカーの粒度。text-model §6 の未決が埋まる	pub enum TextGrouping	text	lottie
constants	text-justify		Text Justify	採用済	Left/Right/Center。両端揃え4種は後回し	pub enum TextJustify	text	lottie
constants	text-range-units		Text Range Units	採用済	Percent/Index。歌詞は index、テンプレートは percent	pub enum TextRangeUnits	text	lottie
constants	text-shape		Text Shape	採用済	重みカーブ6種。§6「shape の初期セット」の未決が埋まる	pub enum TextShape	text	lottie
constants	trim-multiple-shapes		Trim Multiple Shapes	採用済	trim の複数輪郭モード	pub enum TrimMultiple	shape-1	lottie
effect-values	all-effect-values	@extends	effect-values/angle	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/checkbox	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/color	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/drop-down	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/ignored	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/layer	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/no-value	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/point	該当なし	継承元			lottie
effect-values	all-effect-values	@extends	effect-values/slider	該当なし	継承元			lottie
effect-values	angle	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	angle	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effect-values	angle	v	Value	採用予定	scalar param + 角度の意味域		effect	lottie
effect-values	checkbox	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	checkbox	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effect-values	checkbox	v	Value	採用予定	**Bool** param。旧 ValueType に無かった穴		effect	lottie
effect-values	color	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	color	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effect-values	color	v	Value	採用予定	color param(animatable)		effect	lottie
effect-values	drop-down	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	drop-down	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effect-values	drop-down	v	Value	採用予定	**Enum** param。旧 ValueType に無かった穴		effect	lottie
effect-values	effect-value	@extends	helpers/visual-object	該当なし	継承元			lottie
effect-values	effect-value	ix	Effect Index	不採用	位置による同一性。param は名前で持つ(裁定35/65)			lottie
effect-values	effect-value	ty	Type	不採用	payload 型と UI hint の混合。Motolii は2つに分ける			lottie
effect-values	ignored	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	ignored	ty	Type	不採用	上流の穴埋め			lottie
effect-values	ignored	v	Value	不採用	唯一 animatable でない値。「読めない」を「無い」に潰す形(裁定37 の逆)			lottie
effect-values	layer	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	layer	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effect-values	layer	v	Value	採用予定	**LayerId** param。Lottie の layer index は採らない(裁定65)		effect	lottie
effect-values	no-value		Effect No Value	不採用	空 object を param の場所に置く上流の穴埋め			lottie
effect-values	point	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	point	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effect-values	point	v	Value	採用予定	Vec2 param		effect	lottie
effect-values	slider	@extends	effect-values/effect-value	該当なし	継承元			lottie
effect-values	slider	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effect-values	slider	v	Value	採用予定	scalar param。既存の KeyframeTrack にそのまま乗る		effect	lottie
effects	all-effects	@extends	effects/custom-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/displacement-map-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/drop-shadow-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/fill-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/gaussian-blur-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/matte3-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/mesh-warp-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/pro-levels-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/puppet-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/radial-wipe-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/spherize-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/stroke-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/tint-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/tritone-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/twirl-effect	該当なし	継承元			lottie
effects	all-effects	@extends	effects/wavy-effect	該当なし	継承元			lottie
effects	custom-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	custom-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	displacement-map-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	displacement-map-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	displacement-map-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	drop-shadow-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	drop-shadow-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	drop-shadow-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	effect	@extends	helpers/visual-object	該当なし	継承元			lottie
effects	effect	ef	Effect Values	採用予定	param 列は持つ。ただし**名前つき map**(位置配列にしない)		effect	lottie
effects	effect	en	Enabled	採用予定	消さずに切る。int-boolean ではなく bool		effect	lottie
effects	effect	ix	Effect Index	不採用	位置=同一性。順序は配列順、同一性は id(裁定65)			lottie
effects	effect	np	Property Count	不採用	`ef` の長さと同じことを言う正本が2つ(裁定59 の形)			lottie
effects	effect	ty	Type	採用予定	「どの effect か」は持つ。ただし**plugin id 文字列**。閉じた int registry では first/third-party が同じ口にならない(D6)		effect	lottie
effects	fill-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	fill-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	fill-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	gaussian-blur-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	gaussian-blur-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	gaussian-blur-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	matte3-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	matte3-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	matte3-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	mesh-warp-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	mesh-warp-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	mesh-warp-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	pro-levels-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	pro-levels-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	pro-levels-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	puppet-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	puppet-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	puppet-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	radial-wipe-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	radial-wipe-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	radial-wipe-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	spherize-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	spherize-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	spherize-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	stroke-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	stroke-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	stroke-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	tint-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	tint-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	tint-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	tritone-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	tritone-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	tritone-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	twirl-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	twirl-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	twirl-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	wavy-effect	@extends	effects/effect	該当なし	継承元			lottie
effects	wavy-effect	ef	Effect values	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
effects	wavy-effect	ty	Type	不採用	Document は effect を型で持たない(裁定70)。param は first-party plugin の一次資料としてだけ読む			lottie
helpers	marker	cm	Comment	採用済	ロケータの名前	pub name: String	marker	lottie
helpers	marker	dr	Duration	採用済	範囲ロケータの尺。out point ではなく duration(裁定64 と同じ理由)。time と同じ RationalTime で持つ	pub duration: RationalTime	marker	lottie
helpers	marker	tm	Time	採用済	ロケータの時刻。RationalTime で持つ	pub time: RationalTime	marker	lottie
helpers	mask	inv	Inverted	採用済	マスクの反転。mode:Subtract とは別物。**Lottie も AE も静止値**なので `Value::Bool` のトラックではなくマスク一覧側の bool(裁定78 が Bool の用例に挙げていたが、実際の用例は effect param 側)	pub inverted: bool	mask	lottie
helpers	mask	mode	Mode	採用済	constants/mask-mode。前のマスクとの重ね方。畳む順は `Vec<Mask>` の並びが明示する(暗黙の隣接参照を作らない、裁定66)	pub mode: MaskMode	mask	lottie
helpers	mask	o	Opacity	採用済	マスクの不透明度。1.0 基準(パーセントを採らない)。動くので property track 側 `mask.{id}.opacity`	pub fn mask_opacity	mask	lottie
helpers	mask	pt	Shape	採用済	マスク形状 = values/bezier のトラック(`Value::Path`)。名前は `mask.{id}.shape` で**添字ではなく id** — 添字だと1枚消した時に形状が別のマスクへ付き直す(裁定65 と同型)	pub fn mask_shape	mask	lottie
helpers	mask	x	Expand	不採用	マスクの膨張/収縮はパスのオフセット演算。要る日に effect として足す			lottie
helpers	slot	p	Property Value	採用予定	スロットが差し込む値		slot	lottie
helpers	slottable-object	sid	Slot Id	採用予定	スロット参照の識別子		slot	lottie
helpers	transform	a	Anchor Point	採用済	anchor。行列の中心	pub const ANCHOR		lottie
helpers	transform	o	Opacity	採用済	opacity。ただし行列の外(裁定62)	pub const OPACITY		lottie
helpers	transform	or	Orientation	不採用	3D の向き(裁定65)			lottie
helpers	transform	p	Position	採用済	position。anchor が着地する点	pub const POSITION		lottie
helpers	transform	r	Rotation	採用済	rotation。度・時計回り	pub const ROTATION		lottie
helpers	transform	rx	X Rotation	不採用	3D の分割回転(裁定65)			lottie
helpers	transform	ry	Y Rotation	不採用	同上			lottie
helpers	transform	rz	Z Rotation	不採用	同上。split でない時は r と等価 = 二重帳簿でもある			lottie
helpers	transform	s	Scale	採用済	scale。単位は 1.0 基準(パーセントは採らない)	pub const SCALE		lottie
helpers	transform	sa	Skew Axis	採用済	skew axis(度)。0=x軸/90=y軸に沿った点が不動点	skew_axis_degrees	transform-skew	lottie
helpers	transform	sk	Skew	採用済	skew(度)。from_transform の穴を埋めた(velato の式と一致させた)	skew_degrees	transform-skew	lottie
helpers	visual-object	mn	Match Name	不採用	expression 用の第二の識別子。LayerId/PropertyId がある			lottie
helpers	visual-object	nm	Name	採用済	人が付ける表示名。同一性は LayerId のまま。`meta` とは別 component(`LayerAttrs`)に置く — SetMeta は新規配置専用なので同居させると触れなくなる	pub name: String	layer-meta	lottie
layers	all-layers	@extends	layers/precomposition-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/solid-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/image-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/null-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/shape-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/text-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/audio-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/data-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/camera-layer	該当なし	継承元			lottie
layers	all-layers	@extends	layers/unknown-layer	該当なし	継承元			lottie
layers	audio-layer	@extends	layers/layer	該当なし	継承元			lottie
layers	audio-layer	au	Audio Settings	不採用	音量を専用の入れ子に畳む形は採らない。level は普通の property track として持つ			lottie
layers	audio-layer	refId	Sound Id	不採用	asset 表への間接参照。素材は layer が直に持つ			lottie
layers	audio-layer	ty	Type	採用済	音声だけの素材も LayerSource::Media を通る(裁定28)。鳴るかどうかは probe が決める	LayerSource::Media		lottie
layers	audio-settings	lv	Level	採用済	clip の音量(gain)。GOALS 標準。普通の property track として持つ(専用 component ではなく `property::LEVEL`)	pub const LEVEL: &str = "level";	layer-meta	lottie
layers	camera-layer	@extends	layers/layer	該当なし	継承元			lottie
layers	camera-layer	ks	Transform	不採用	3D カメラの transform。3D 系は不採用(裁定65)			lottie
layers	camera-layer	pe	Perspective	不採用	Z=0 平面までの距離。3D 系は不採用(裁定65)			lottie
layers	camera-layer	ty	Type	不採用	カメラレイヤ自体を持たない。3D 系は不採用(裁定65)			lottie
layers	data-layer	@extends	layers/layer	該当なし	継承元			lottie
layers	data-layer	refId	Data source Id	不採用	外部 JSON を差し込むデータ駆動レイヤ			lottie
layers	data-layer	ty	Type	不採用	同上			lottie
layers	image-layer	@extends	layers/visual-layer	該当なし	継承元			lottie
layers	image-layer	refId	Reference Id	不採用	asset 表への間接参照。素材は layer が直に持つ			lottie
layers	image-layer	ty	Type	採用済	静止画も LayerSource::Media(動画と同じ variant、裁定28)	LayerSource::Media		lottie
layers	layer	@extends	helpers/visual-object	該当なし	継承元			lottie
layers	layer	ddd	Threedimensional	不採用	3D 系は不採用(裁定65)			lottie
layers	layer	hd	Hidden	採用済	行の表示/非表示(GOALS 標準の mute)。tombstone の present(削除)とは別物。`LayerAttrs`(`meta` とは別 component)に置き、hidden な layer は resolve が None を返す(present とは別に「今フレームは描かない」を作れる)	pub hidden: bool	layer-meta	lottie
layers	layer	ind	Index	不採用	配列位置による同一性は挿入削除で壊れる。LayerId がある(裁定65)			lottie
layers	layer	ip	In Point	採用済	LayerTiming.start	pub start: i64		lottie
layers	layer	op	Out Point	採用済	LayerTiming.duration として持つ。終端フレームだと start > op の不正状態が作れる	pub duration: i64		lottie
layers	layer	parent	Parent Index	採用済	親子(GOALS 標準)。参照は ind ではなく LayerId(裁定65)。**循環参照は書き口(SetAttrs)が拒む**(親鎖を辿って自分自身へ戻ってこないことを試験で縛った)。まだ transform の合成は実装していない(resolve は parent を読まない、記録のみ)	validate_no_parent_cycle	layer-meta	lottie
layers	layer	sr	Time Stretch	採用済	速度。LayerTiming に足す。今の写像は 1:1 固定しか表せない(裁定63 で空けた穴)。`Speed`(有理数 num/den)を新設し `source_frame` の進み幅をスケールする。f64/fps を経由しないので TM-4 の柵の対象外のまま	pub speed: Speed	layer-meta	lottie
layers	layer	st	Start Time	採用済	代数的に等価な LayerTiming.source_in(st = start - source_in、裁定63)	pub source_in: i64		lottie
layers	layer	ty	Type	採用済	LayerSource の variant が兼ねる(裁定19)。数値の型タグは持たない	pub enum LayerSource		lottie
layers	null-layer	@extends	layers/visual-layer	該当なし	継承元			lottie
layers	null-layer	ty	Type	採用済	絵を持たず transform だけ持つ layer(AE の Null Object)。親子の受け皿。`LayerSource::Null`(unit variant)— texture を持たないので engine は他の「今フレームは描かない」経路と同じ扱いで飛ばす	LayerSource::Null	layer-meta	lottie
layers	precomposition-layer	@extends	layers/visual-layer	該当なし	継承元			lottie
layers	precomposition-layer	h	Height	不採用	プリコンポは設計上の除外(GOALS)。グループ化+fold+ベイクへ置換済み			lottie
layers	precomposition-layer	refId	Reference Id	不採用	同上			lottie
layers	precomposition-layer	st	Start Time	不採用	同上。st の意味は layer/st 側で決着済み			lottie
layers	precomposition-layer	tm	Time Remap	採用済	Time Remap(GOALS 標準)。timing ではなく property track として持ち precomp 専用にしない — 素材時刻を返す property なので Media にそのまま効く。`property::TIME_REMAP` の値があれば `source_frame` を直接上書きする(通常の speed/trim 写像より優先)	pub const TIME_REMAP: &str = "time_remap";	layer-meta	lottie
layers	precomposition-layer	ty	Type	不採用	プリコンポは設計上の除外(GOALS)			lottie
layers	precomposition-layer	w	Width	不採用	同上(クリップ矩形)			lottie
layers	shape-layer	@extends	layers/visual-layer	該当なし	継承元			lottie
layers	shape-layer	shapes	Shapes	採用済	図形の列を layer が持つ形は採る。中身の語彙は shapes 群の判断 — `motolii-vector::Shape`(shape-1/2/3 が既に決めた正本、裁定10)を作り直さず `Vec<Shape>` をそのまま `Layer:shapes` component に乗せる(`serde` を追加しただけ)	SetShapes	layer-meta	lottie
layers	shape-layer	ty	Type	採用済	ベクタ生成物。LayerSource の variant として足す。パスラスタライザはテキストで結局要る。`LayerSource::Shape`(unit variant — texture cache のキーである `LayerSource` は `Eq`+`Hash` が要るため、`f64` を含む図形本体は同居できない。中身は `shapes` 行の component が持つ)	LayerSource::Shape	layer-meta	lottie
layers	solid-layer	@extends	layers/visual-layer	該当なし	継承元			lottie
layers	solid-layer	sc	Color	採用済	LayerSource::Solid.rgba	rgba: [u8; 4]		lottie
layers	solid-layer	sh	Height	採用済	LayerSource::Solid.height。単色は素材が無いので Document が寸法を持つ	height: u32		lottie
layers	solid-layer	sw	Width	採用済	LayerSource::Solid.width	width: u32		lottie
